survey_id,hhid,cons_ppp17
100000,100001,25.258402
100000,100002,16.996706
100000,100003,13.671848
100000,100004,7.1894746
100000,100005,12.308855
100000,100006,4.4969716
100000,100007,23.149488
100000,100008,18.026398
100000,100009,5.346746
100000,100010,6.5374041
100000,100011,5.1902699
100000,100012,7.001019
100000,100013,4.0385227
100000,100014,14.221982
100000,100015,5.8240838
100000,100016,6.9727116
100000,100017,4.9550481
100000,100018,5.03794
100000,100019,3.1429381
100000,100020,2.3634825
100000,100021,5.5342522
100000,100022,1.712684
100000,100023,3.907902
100000,100024,2.0084631
100000,100025,1.661756
100000,100026,2.2414513
100000,100027,1.9539326
100000,100028,3.9682348
100000,100029,5.0325685
100000,100030,1.3184257
100000,100031,4.3168521
100000,100032,2.7008178
100000,100033,3.5076756
100000,100034,3.0301588
100000,100035,4.2489738
100000,100036,3.3964312
100000,100037,2.5257342
100000,100038,4.9347048
100000,100039,9.1467724
100000,100040,4.1246858
100000,100041,4.3548541
100000,100042,5.1075201
100000,100043,5.6439285
100000,100044,7.5241199
100000,100045,1.7504894
100000,100046,4.4237523
100000,100047,5.5018363
100000,100048,9.0110388
100000,100049,2.7534482
100000,100050,3.0819702
100000,100051,23.65263
100000,100052,6.2759867
100000,100053,7.6317554
100000,100054,16.354858
100000,100055,6.9904208
100000,100056,7.2192254
100000,100057,12.60689
100000,100058,8.5842152
100000,100059,4.8560987
100000,100060,5.4946871
100000,100061,10.576861
100000,100062,11.407044
100000,100063,1.1096499
100000,100064,3.1579881
100000,100065,7.3024378
100000,100066,5.7835302
100000,100067,6.9174237
100000,100068,2.4027605
100000,100069,6.100296
100000,100070,2.8680143
100000,100071,2.7171679
100000,100072,5.0673146
100000,100073,1.9388225
100000,100074,3.1002641
100000,100075,6.2393799
100000,100076,4.5163207
100000,100077,7.5196085
100000,100078,8.6117573
100000,100079,5.6326027
100000,100080,18.378147
100000,100081,4.8052168
100000,100082,10.835482
100000,100083,9.8555975
100000,100084,4.9613895
100000,100085,8.8582363
